model_code,model,registry_id,implementation_parameter,manuscript_symbol,description,estimate,status,lower_bound,upper_bound
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,encoding_drift_rate,\beta_{\mathrm{enc}}^{T},Temporal-context drift at study,0.8639625310897827,free,2.220446049250313e-16,0.9999999999999998
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.18153099715709686,free,2.220446049250313e-16,0.9999999999999998
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.9732115864753723,free,2.220446049250313e-16,0.9999999999999998
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.7072144150733948,free,2.220446049250313e-16,0.9999999999999998
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,,
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,shared_support,\alpha,Shared pre-experimental context-to-item support,0.24129600822925568,free,2.220446049250313e-16,100.0
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,item_support,\delta,Item-specific pre-experimental context-to-item support,68.9594497680664,free,2.220446049250313e-16,100.0
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,learning_rate,\gamma,Feature-to-context learning rate,0.7900310754776001,free,2.220446049250313e-16,0.9999999999999998
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,primacy_scale,\phi_s,Primacy scale,28.720823287963867,free,2.220446049250313e-16,100.0
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,primacy_decay,\phi_d,Primacy decay,2.206240653991699,free,2.220446049250313e-16,100.0
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,choice_sensitivity,\tau_c,Recall-choice sensitivity,0.19046032428741455,free,2.220446049250313e-16,100.0
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,source_learning_rate,\omega,Source learning relative to temporal learning,0.2258591502904892,free,2.220446049250313e-16,10.0
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,1.0,fixed,,
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.0,fixed,,
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.0,fixed,,
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,encoding_drift_rate,\beta_{\mathrm{enc}}^{T},Temporal-context drift at study,0.7347234487533569,free,2.220446049250313e-16,0.9999999999999998
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.02848455123603344,free,2.220446049250313e-16,0.9999999999999998
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.9877132177352905,free,2.220446049250313e-16,0.9999999999999998
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.6707903146743774,free,2.220446049250313e-16,0.9999999999999998
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,,
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,shared_support,\alpha,Shared pre-experimental context-to-item support,3.5373339653015137,free,2.220446049250313e-16,100.0
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,item_support,\delta,Item-specific pre-experimental context-to-item support,28.73235511779785,free,2.220446049250313e-16,100.0
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,learning_rate,\gamma,Feature-to-context learning rate,0.4616236686706543,free,2.220446049250313e-16,0.9999999999999998
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,primacy_scale,\phi_s,Primacy scale,0.48667919635772705,free,2.220446049250313e-16,100.0
