trial_index,subject,list,recall_count,list_type,condition
0,202,1,6,pure_negative,1
1,202,2,13,pure_negative,1
2,202,3,12,pure_neutral,2
3,202,4,15,pure_neutral,2
4,202,5,14,pure_neutral,2
5,202,6,14,pure_negative,1
6,202,7,15,pure_neutral,2
7,202,8,12,pure_negative,1
8,202,9,10,pure_negative,1
9,203,1,9,pure_neutral,2
10,203,2,9,pure_neutral,2
11,203,3,10,pure_neutral,2
12,203,4,9,pure_neutral,2
13,203,5,11,pure_negative,1
14,203,6,10,pure_negative,1
15,203,7,9,pure_neutral,2
16,203,8,10,pure_negative,1
17,203,9,10,pure_negative,1
18,204,1,13,pure_neutral,2
19,204,2,14,pure_neutral,2
20,204,3,11,pure_negative,1
21,204,4,12,pure_neutral,2
22,204,5,8,pure_negative,1
23,204,6,13,pure_negative,1
24,204,7,10,pure_negative,1
25,204,8,14,pure_neutral,2
26,204,9,11,pure_negative,1
27,205,1,7,pure_neutral,2
28,205,2,7,pure_negative,1
29,205,3,6,pure_neutral,2
30,205,4,8,pure_neutral,2
31,205,5,9,pure_neutral,2
32,205,6,8,pure_negative,1
33,205,7,6,pure_negative,1
34,205,8,4,pure_neutral,2
35,205,9,12,pure_negative,1
36,206,1,14,pure_neutral,2
37,206,2,12,pure_negative,1
38,206,3,8,pure_negative,1
39,206,4,5,pure_neutral,2
40,206,5,10,pure_neutral,2
41,206,6,3,pure_neutral,2
42,206,7,8,pure_negative,1
43,206,8,4,pure_neutral,2
44,206,9,8,pure_negative,1
45,207,1,11,pure_negative,1
46,207,2,13,pure_neutral,2
47,207,3,6,pure_negative,1
48,207,4,7,pure_negative,1
49,207,5,10,pure_neutral,2
50,207,6,9,pure_negative,1
51,207,7,11,pure_negative,1
52,207,8,10,pure_neutral,2
53,207,9,10,pure_neutral,2
54,210,1,12,pure_neutral,2
55,210,2,8,pure_neutral,2
56,210,3,13,pure_negative,1
57,210,4,9,pure_negative,1
58,210,5,10,pure_neutral,2
59,210,6,10,pure_negative,1
60,210,7,10,pure_negative,1
61,210,8,7,pure_neutral,2
62,210,9,5,pure_neutral,2
63,211,1,12,pure_negative,1
64,211,2,8,pure_neutral,2
65,211,3,5,pure_neutral,2
66,211,4,7,pure_negative,1
67,211,5,7,pure_negative,1
68,211,6,12,pure_negative,1
69,211,7,8,pure_neutral,2
70,211,8,10,pure_neutral,2
71,211,9,8,pure_neutral,2
72,212,1,6,pure_neutral,2
73,212,2,6,pure_neutral,2
74,212,3,5,pure_negative,1
75,212,4,4,pure_neutral,2
76,212,5,6,pure_neutral,2
77,212,6,8,pure_negative,1
78,212,7,7,pure_negative,1
79,212,8,4,pure_neutral,2
80,212,9,6,pure_negative,1
81,213,1,13,pure_neutral,2
82,213,2,9,pure_neutral,2
83,213,3,6,pure_negative,1
84,213,4,8,pure_negative,1
85,213,5,5,pure_negative,1
86,213,6,12,pure_negative,1
87,213,7,9,pure_neutral,2
88,213,8,8,pure_negative,1
89,213,9,7,pure_neutral,2
90,214,1,8,pure_neutral,2
91,214,2,13,pure_neutral,2
92,214,3,9,pure_negative,1
93,214,4,10,pure_neutral,2
94,214,5,7,pure_negative,1
95,214,6,16,pure_negative,1
96,214,7,12,pure_neutral,2
97,214,8,3,pure_negative,1
98,214,9,7,pure_negative,1
99,215,1,8,pure_neutral,2
100,215,2,9,pure_neutral,2
101,215,3,9,pure_negative,1
102,215,4,10,pure_negative,1
103,215,5,6,pure_neutral,2
104,215,6,8,pure_neutral,2
105,215,7,6,pure_neutral,2
106,215,8,8,pure_negative,1
107,215,9,9,pure_negative,1
108,216,1,14,pure_neutral,2
109,216,2,11,pure_neutral,2
110,216,3,7,pure_negative,1
111,216,4,11,pure_negative,1
112,216,5,12,pure_neutral,2
113,216,6,10,pure_negative,1
114,216,7,12,pure_negative,1
115,216,8,10,pure_negative,1
116,216,9,13,pure_neutral,2
117,217,1,11,pure_negative,1
118,217,2,10,pure_neutral,2
119,217,3,15,pure_negative,1
120,217,4,11,pure_negative,1
121,217,5,11,pure_negative,1
122,217,6,10,pure_neutral,2
123,217,7,10,pure_neutral,2
124,217,8,10,pure_neutral,2
125,217,9,10,pure_neutral,2
126,218,1,15,pure_neutral,2
127,218,2,11,pure_negative,1
128,218,3,8,pure_negative,1
129,218,4,13,pure_neutral,2
130,218,5,15,pure_neutral,2
131,218,6,12,pure_negative,1
132,218,7,14,pure_neutral,2
133,218,8,12,pure_negative,1
134,218,9,13,pure_negative,1
135,219,1,8,pure_negative,1
136,219,2,5,pure_neutral,2
137,219,3,4,pure_negative,1
138,219,4,6,pure_neutral,2
139,219,5,10,pure_neutral,2
140,219,6,10,pure_neutral,2
141,219,7,8,pure_negative,1
142,219,8,5,pure_negative,1
143,219,9,7,pure_negative,1
144,220,1,6,pure_neutral,2
145,220,2,6,pure_neutral,2
146,220,3,7,pure_neutral,2
147,220,4,7,pure_neutral,2
148,220,5,11,pure_negative,1
149,220,6,8,pure_negative,1
150,220,7,6,pure_neutral,2
151,220,8,7,pure_negative,1
152,220,9,7,pure_negative,1
153,221,1,8,pure_neutral,2
154,221,2,10,pure_negative,1
155,221,3,7,pure_negative,1
156,221,4,4,pure_neutral,2
157,221,5,4,pure_neutral,2
158,221,6,8,pure_neutral,2
159,221,7,5,pure_negative,1
160,221,8,4,pure_neutral,2
161,221,9,7,pure_negative,1
162,222,1,10,pure_neutral,2
163,222,2,10,pure_neutral,2
164,222,3,10,pure_negative,1
165,222,4,4,pure_negative,1
166,222,5,7,pure_negative,1
167,222,6,7,pure_negative,1
168,222,7,6,pure_neutral,2
169,222,8,14,pure_neutral,2
170,222,9,12,pure_negative,1
171,223,1,9,pure_negative,1
172,223,2,9,pure_negative,1
173,223,3,8,pure_negative,1
174,223,4,7,pure_negative,1
175,223,5,10,pure_neutral,2
176,223,6,6,pure_neutral,2
177,223,7,6,pure_neutral,2
178,223,8,5,pure_neutral,2
179,223,9,5,pure_neutral,2
180,224,1,8,pure_neutral,2
181,224,2,8,pure_neutral,2
182,224,3,4,pure_neutral,2
183,224,4,5,pure_neutral,2
184,224,5,8,pure_negative,1
185,224,6,9,pure_negative,1
186,224,7,7,pure_neutral,2
187,224,8,7,pure_negative,1
188,224,9,8,pure_negative,1
189,225,1,9,pure_negative,1
190,225,2,11,pure_neutral,2
191,225,3,11,pure_neutral,2
192,225,4,10,pure_neutral,2
193,225,5,9,pure_negative,1
194,225,6,11,pure_neutral,2
195,225,7,9,pure_negative,1
196,225,8,8,pure_negative,1
197,225,9,10,pure_negative,1
198,226,1,9,pure_neutral,2
199,226,2,13,pure_negative,1
200,226,3,3,pure_neutral,2
201,226,4,6,pure_neutral,2
202,226,5,5,pure_negative,1
203,226,6,2,pure_neutral,2
204,226,7,11,pure_neutral,2
205,226,8,6,pure_negative,1
206,226,9,6,pure_negative,1
207,227,1,11,pure_neutral,2
208,227,2,14,pure_neutral,2
209,227,3,12,pure_negative,1
210,227,4,12,pure_negative,1
211,227,5,15,pure_neutral,2
212,227,6,10,pure_neutral,2
213,227,7,7,pure_negative,1
214,227,8,7,pure_negative,1
215,227,9,12,pure_negative,1
216,229,1,5,pure_neutral,2
217,229,2,8,pure_negative,1
218,229,3,6,pure_neutral,2
219,229,4,5,pure_neutral,2
220,229,5,7,pure_negative,1
221,229,6,9,pure_negative,1
