source_type,source_id,source_label,metric,category,recall_status,mean,lower,upper,interval,confidence_level,n_units
observed,Observed,Observed data,recall_rate,Negative,,0.5322153574580759,0.5004432525959708,0.5637508619754789,Participant-cluster percentile bootstrap,0.95,38
observed,Observed,Observed data,within_list_centered_early_lpp,Negative,Remembered,0.4543609330278658,0.3512344494779412,0.5568104749989233,Participant-cluster percentile bootstrap,0.95,38
observed,Observed,Observed data,within_list_centered_early_lpp,Negative,Forgotten,0.05109168479681727,-0.05053522954250841,0.15131323461966095,Participant-cluster percentile bootstrap,0.95,38
observed,Observed,Observed data,recall_rate,Neutral,,0.40839527765631833,0.366288818553855,0.4509215349615543,Participant-cluster percentile bootstrap,0.95,38
observed,Observed,Observed data,within_list_centered_early_lpp,Neutral,Remembered,-0.11917244496792437,-0.19163899576899265,-0.04708189488022852,Participant-cluster percentile bootstrap,0.95,38
observed,Observed,Observed data,within_list_centered_early_lpp,Neutral,Forgotten,-0.14024476863124521,-0.19323327183706698,-0.08783031471339223,Participant-cluster percentile bootstrap,0.95,38
predicted,CategoryOnly_eCMR,No categorical enhancement + No LPP,recall_rate,Negative,,0.4495609002647841,0.43555825242718443,0.4638128861429832,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR,No categorical enhancement + No LPP,within_list_centered_early_lpp,Negative,Remembered,0.26790330876142254,0.18922163192506666,0.3499783614766697,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR,No categorical enhancement + No LPP,within_list_centered_early_lpp,Negative,Forgotten,0.2639182517557415,0.19771867038412388,0.32915738440920916,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR,No categorical enhancement + No LPP,recall_rate,Neutral,,0.44934302579798846,0.4422824661128115,0.45628006121556625,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR,No categorical enhancement + No LPP,within_list_centered_early_lpp,Neutral,Remembered,-0.13275138221584815,-0.1809299126049615,-0.08136499706640082,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR,No categorical enhancement + No LPP,within_list_centered_early_lpp,Neutral,Forgotten,-0.13074611196754685,-0.17321682826294024,-0.09106823761052475,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR_LPP_General,No categorical enhancement + General LPP,recall_rate,Negative,,0.45364518976169455,0.4381950573698147,0.4682369814651368,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR_LPP_General,No categorical enhancement + General LPP,within_list_centered_early_lpp,Negative,Remembered,0.3711191625168017,0.2899319546615149,0.44802949554053145,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR_LPP_General,No categorical enhancement + General LPP,within_list_centered_early_lpp,Negative,Forgotten,0.17830170474062565,0.11437146958502158,0.24506907040831985,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR_LPP_General,No categorical enhancement + General LPP,recall_rate,Neutral,,0.4473196327066022,0.4400907302142545,0.45497376475732404,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR_LPP_General,No categorical enhancement + General LPP,within_list_centered_early_lpp,Neutral,Remembered,-0.03358517700025387,-0.0851917812602924,0.015920973705167336,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR_LPP_General,No categorical enhancement + General LPP,within_list_centered_early_lpp,Neutral,Forgotten,-0.21101038585226417,-0.2518569324285264,-0.16983133402187714,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR_LPP_EmotionalOnly,No categorical enhancement + Emotion-dependent LPP,recall_rate,Negative,,0.4622947925860547,0.44836716681376876,0.47491173874669024,Central interval across complete simulated datasets,0.95,200
