model_code,model,registry_id,implementation_parameter,manuscript_symbol,description,estimate,status,lower_bound,upper_bound
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,encoding_drift_rate,\beta_{\mathrm{enc}}^{T},Temporal-context drift at study,0.7185114622116089,free,2.220446049250313e-16,0.9999999999999998
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.06053470820188522,free,2.220446049250313e-16,0.9999999999999998
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.9972596764564514,free,2.220446049250313e-16,0.9999999999999998
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.42502686381340027,free,2.220446049250313e-16,0.9999999999999998
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,,
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,shared_support,\alpha,Shared pre-experimental context-to-item support,0.3049755394458771,free,2.220446049250313e-16,100.0
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,item_support,\delta,Item-specific pre-experimental context-to-item support,23.840368270874023,free,2.220446049250313e-16,100.0
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,learning_rate,\gamma,Feature-to-context learning rate,0.2887040078639984,free,2.220446049250313e-16,0.9999999999999998
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,primacy_scale,\phi_s,Primacy scale,1.33889901638031,free,2.220446049250313e-16,100.0
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,primacy_decay,\phi_d,Primacy decay,82.53983306884766,free,2.220446049250313e-16,100.0
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,choice_sensitivity,\tau_c,Recall-choice sensitivity,0.6463806629180908,free,2.220446049250313e-16,100.0
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,source_learning_rate,\omega,Source learning relative to temporal learning,1.8797249794006348,free,2.220446049250313e-16,10.0
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,1.0,fixed,,
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.0,fixed,,
A,No emotion-based learning boost + no LPP-based learning boost,CategoryOnly_eCMR,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.0,fixed,,
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,encoding_drift_rate,\beta_{\mathrm{enc}}^{T},Temporal-context drift at study,0.7457321286201477,free,2.220446049250313e-16,0.9999999999999998
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.03431118279695511,free,2.220446049250313e-16,0.9999999999999998
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.9998672008514404,free,2.220446049250313e-16,0.9999999999999998
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.09441104531288147,free,2.220446049250313e-16,0.9999999999999998
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,,
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,shared_support,\alpha,Shared pre-experimental context-to-item support,20.436809539794922,free,2.220446049250313e-16,100.0
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,item_support,\delta,Item-specific pre-experimental context-to-item support,65.1226577758789,free,2.220446049250313e-16,100.0
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,learning_rate,\gamma,Feature-to-context learning rate,0.5442727208137512,free,2.220446049250313e-16,0.9999999999999998
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,primacy_scale,\phi_s,Primacy scale,0.14933359622955322,free,2.220446049250313e-16,100.0
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,primacy_decay,\phi_d,Primacy decay,2.08412504196167,free,2.220446049250313e-16,100.0
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,choice_sensitivity,\tau_c,Recall-choice sensitivity,5.0888776779174805,free,2.220446049250313e-16,100.0
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,source_learning_rate,\omega,Source learning relative to temporal learning,6.017098426818848,free,2.220446049250313e-16,10.0
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,1.0,fixed,,
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.03228703886270523,free,0.0,0.21454430108484696
B,No emotion-based learning boost + LPP-based learning boost for all items,CategoryOnly_eCMR_LPP_General,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.0,fixed,,
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,encoding_drift_rate,\beta_{\mathrm{enc}}^{T},Temporal-context drift at study,0.7549219727516174,free,2.220446049250313e-16,0.9999999999999998
